Date,Away Team,Visitor Points,Home Team,Home Points,Home Team Won,Win Margin ,Home Coach,Away Coach,Home Coach Years With Team,Away Coach Years With Team,Home Division,Away Division,Home Conference,Away Conference,Home Coach Championships,Away Coach Championships,Home All Stars,Away All Stars,Same Division,Same Conference,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards,Atlanta Hawks_home_win,Boston Celtics_home_win,Brooklyn Nets_home_win,Charlotte Hornets_home_win,Chicago Bulls_home_win,Cleveland Cavaliers_home_win,Dallas Mavericks_home_win,Denver Nuggets_home_win,Detroit Pistons_home_win,Golden State Warriors_home_win,Houston Rockets_home_win,Indiana Pacers_home_win,Los Angeles Clippers_home_win,Los Angeles Lakers_home_win,Memphis Grizzlies_home_win,Miami Heat_home_win,Milwaukee Bucks_home_win,Minnesota Timberwolves_home_win,New Orleans Pelicans_home_win,New York Knicks_home_win,Oklahoma City Thunder_home_win,Orlando Magic_home_win,Philadelphia 76ers_home_win,Phoenix Suns_home_win,Portland Trail Blazers_home_win,Sacramento Kings_home_win,San Antonio Spurs_home_win,Toronto Raptors_home_win,Utah Jazz_home_win,Washington Wizards_home_win,Atlanta Hawks_away_win,Boston Celtics_away_win,Brooklyn Nets_away_win,Charlotte Hornets_away_win,Chicago Bulls_away_win,Cleveland Cavaliers_away_win,Dallas Mavericks_away_win,Denver Nuggets_away_win,Detroit Pistons_away_win,Golden State Warriors_away_win,Houston Rockets_away_win,Indiana Pacers_away_win,Los Angeles Clippers_away_win,Los Angeles Lakers_away_win,Memphis Grizzlies_away_win,Miami Heat_away_win,Milwaukee Bucks_away_win,Minnesota Timberwolves_away_win,New Orleans Pelicans_away_win,New York Knicks_away_win,Oklahoma City Thunder_away_win,Orlando Magic_away_win,Philadelphia 76ers_away_win,Phoenix Suns_away_win,Portland Trail Blazers_away_win,Sacramento Kings_away_win,San Antonio Spurs_away_win,Toronto Raptors_away_win,Utah Jazz_away_win,Washington Wizards_away_win,Atlanta Hawkstotal_wins,Boston Celticstotal_wins,Brooklyn Netstotal_wins,Charlotte Hornetstotal_wins,Chicago Bullstotal_wins,Cleveland Cavalierstotal_wins,Dallas Maverickstotal_wins,Denver Nuggetstotal_wins,Detroit Pistonstotal_wins,Golden State Warriorstotal_wins,Houston Rocketstotal_wins,Indiana Pacerstotal_wins,Los Angeles Clipperstotal_wins,Los Angeles Lakerstotal_wins,Memphis Grizzliestotal_wins,Miami Heattotal_wins,Milwaukee Buckstotal_wins,Minnesota Timberwolvestotal_wins,New Orleans Pelicanstotal_wins,New York Knickstotal_wins,Oklahoma City Thundertotal_wins,Orlando Magictotal_wins,Philadelphia 76erstotal_wins,Phoenix Sunstotal_wins,Portland Trail Blazerstotal_wins,Sacramento Kingstotal_wins,San Antonio Spurstotal_wins,Toronto Raptorstotal_wins,Utah Jazztotal_wins,Washington Wizardstotal_wins,Atlanta HawksTotal_Games,Boston CelticsTotal_Games,Brooklyn NetsTotal_Games,Charlotte HornetsTotal_Games,Chicago BullsTotal_Games,Cleveland CavaliersTotal_Games,Dallas MavericksTotal_Games,Denver NuggetsTotal_Games,Detroit PistonsTotal_Games,Golden State WarriorsTotal_Games,Houston RocketsTotal_Games,Indiana PacersTotal_Games,Los Angeles ClippersTotal_Games,Los Angeles LakersTotal_Games,Memphis GrizzliesTotal_Games,Miami HeatTotal_Games,Milwaukee BucksTotal_Games,Minnesota TimberwolvesTotal_Games,New Orleans PelicansTotal_Games,New York KnicksTotal_Games,Oklahoma City ThunderTotal_Games,Orlando MagicTotal_Games,Philadelphia 76ersTotal_Games,Phoenix SunsTotal_Games,Portland Trail BlazersTotal_Games,Sacramento KingsTotal_Games,San Antonio SpursTotal_Games,Toronto RaptorsTotal_Games,Utah JazzTotal_Games,Washington WizardsTotal_Games,Atlanta Hawks_Win_Percentage,Boston Celtics_Win_Percentage,Brooklyn Nets_Win_Percentage,Charlotte Hornets_Win_Percentage,Chicago Bulls_Win_Percentage,Cleveland Cavaliers_Win_Percentage,Dallas Mavericks_Win_Percentage,Denver Nuggets_Win_Percentage,Detroit Pistons_Win_Percentage,Golden State Warriors_Win_Percentage,Houston Rockets_Win_Percentage,Indiana Pacers_Win_Percentage,Los Angeles Clippers_Win_Percentage,Los Angeles Lakers_Win_Percentage,Memphis Grizzlies_Win_Percentage,Miami Heat_Win_Percentage,Milwaukee Bucks_Win_Percentage,Minnesota Timberwolves_Win_Percentage,New Orleans Pelicans_Win_Percentage,New York Knicks_Win_Percentage,Oklahoma City Thunder_Win_Percentage,Orlando Magic_Win_Percentage,Philadelphia 76ers_Win_Percentage,Phoenix Suns_Win_Percentage,Portland Trail Blazers_Win_Percentage,Sacramento Kings_Win_Percentage,San Antonio Spurs_Win_Percentage,Toronto Raptors_Win_Percentage,Utah Jazz_Win_Percentage,Washington Wizards_Win_Percentage,Atlanta Hawks_Opponent_Win_Percentage,Boston Celtics_Opponent_Win_Percentage,Brooklyn Nets_Opponent_Win_Percentage,Charlotte Hornets_Opponent_Win_Percentage,Chicago Bulls_Opponent_Win_Percentage,Cleveland Cavaliers_Opponent_Win_Percentage,Dallas Mavericks_Opponent_Win_Percentage,Denver Nuggets_Opponent_Win_Percentage,Detroit Pistons_Opponent_Win_Percentage,Golden State Warriors_Opponent_Win_Percentage,Houston Rockets_Opponent_Win_Percentage,Indiana Pacers_Opponent_Win_Percentage,Los Angeles Clippers_Opponent_Win_Percentage,Los Angeles Lakers_Opponent_Win_Percentage,Memphis Grizzlies_Opponent_Win_Percentage,Miami Heat_Opponent_Win_Percentage,Milwaukee Bucks_Opponent_Win_Percentage,Minnesota Timberwolves_Opponent_Win_Percentage,New Orleans Pelicans_Opponent_Win_Percentage,New York Knicks_Opponent_Win_Percentage,Oklahoma City Thunder_Opponent_Win_Percentage,Orlando Magic_Opponent_Win_Percentage,Philadelphia 76ers_Opponent_Win_Percentage,Phoenix Suns_Opponent_Win_Percentage,Portland Trail Blazers_Opponent_Win_Percentage,Sacramento Kings_Opponent_Win_Percentage,San Antonio Spurs_Opponent_Win_Percentage,Toronto Raptors_Opponent_Win_Percentage,Utah Jazz_Opponent_Win_Percentage,Washington Wizards_Opponent_Win_Percentage,Away_Win_Percentage
"Tue, Oct 17, 2017",Boston Celtics,99,Cleveland Cavaliers,102,1,3,Tyronn Lue,Brad Stevens,2,4,Central,Atlantic,Eastern,Eastern,1,0,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tue, Oct 17, 2017",Houston Rockets,122,Golden State Warriors,121,0,1,Steve Kerr,Mike D'Antoni,3,1,Pacific,Southwest,Western,Western,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Wed, Oct 18, 2017",Milwaukee Bucks,108,Boston Celtics,100,0,8,Brad Stevens,Joe Prunty,4,0,Atlantic,Central,Eastern,Eastern,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Wed, Oct 18, 2017",Atlanta Hawks,117,Dallas Mavericks,111,0,6,Rick Carlisle,Mike Budenholzer,9,4,Southwest,Southeast,Western,Eastern,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Wed, Oct 18, 2017",Charlotte Hornets,90,Detroit Pistons,102,1,12,Stan Van Gundy,Steve Clifford,3,4,Central,Southeast,Eastern,Eastern,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed, Oct 18, 2017",Brooklyn Nets,131,Indiana Pacers,140,1,9,Nate McMillan,Kenny Atkinson,1,1,Central,Atlantic,Eastern,Eastern,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed, Oct 18, 2017",New Orleans Pelicans,91,Memphis Grizzlies,103,1,12,J. B. Bickerstaff,Alvin Gentry,1,2,Southwest,Southwest,Western,Western,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed, Oct 18, 2017",Miami Heat,109,Orlando Magic,116,1,7,Frank Vogel,Erik Spoelstra,1,9,Southeast,Southeast,Eastern,Eastern,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed, Oct 18, 2017",Portland Trail Blazers,124,Phoenix Suns,76,0,48,Jay Triano,Terry Stotts,0,5,Pacific,Northwest,Western,Western,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Wed, Oct 18, 2017",Houston Rockets,105,Sacramento Kings,100,0,5,Dave Joerger,Mike D'Antoni,1,1,Pacific,Southwest,Western,Western,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1,0,1,1,2,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
